t,c
0.1,55135.4949
0.2,27635.72237
0.3,18469.34573
0.4,13886.3537
0.5,11136.73995
0.6,9303.83366
0.7,7994.774777
0.8,7013.132566
0.9,6249.778386
1,5639.234756
1.1,5139.833989
1.2,4723.797495
1.3,4371.893858
1.4,4070.3863
1.5,3809.201159
1.6,3580.783179
1.7,3379.354821
1.8,3200.422459
1.9,3040.43852
2,2896.56498
2.1,2766.50443
2.2,2648.377214
2.3,2540.630622
2.4,2441.970778
2.5,2351.310881
2.6,2267.731385
2.7,2190.449029
2.8,2118.792509
2.9,2052.183173
3,1990.119585
3.1,1932.165076
3.2,1877.937622
3.3,1827.101574
3.4,1779.360836
3.5,1734.45322
3.6,1692.145739
3.7,1652.230662
3.8,1614.522197
3.9,1578.853679
4,1545.07518
4.1,1513.051475
4.2,1482.66029
4.3,1453.790802
4.4,1426.342337
4.5,1400.223251
4.6,1375.349942
4.7,1351.646007
4.8,1329.041487
4.9,1307.472217
5,1286.879247
5.1,1267.208334
5.2,1248.409494
5.3,1230.436598
5.4,1213.247026
5.5,1196.801341
5.6,1181.063017
5.7,1165.998181
5.8,1151.575388
5.9,1137.765419
6,1124.541101
6.1,1111.877137
6.2,1099.749962
6.3,1088.137609
6.4,1077.019585
6.5,1066.376762
6.6,1056.191276
6.7,1046.44644
6.8,1037.126655
6.9,1028.217341
7,1019.704862
7.1,1011.576467
7.2,1003.820232
7.3,996.4250055
7.4,989.3803625
7.5,982.676558
7.6,976.3044876
7.7,970.2556496
7.8,964.522111
7.9,959.0964758
8,953.9718557
8.1,949.1418437
8.2,944.6004889
8.3,940.3422745
8.4,936.3620964
8.5,932.6552438
8.6,929.217382
8.7,926.0445356
8.8,923.1330737
8.9,920.4796957
9,918.0814191
9.1,915.9355675
9.2,914.0397596
9.3,912.3919001
9.4,910.9901701
9.5,909.8330192
9.6,908.9191579
9.7,908.247551
9.8,907.8174115
9.9,907.6281949
10,907.6795945
10.1,907.9715371
10.2,908.5041789
10.3,909.2779025
10.4,910.293314
10.5,911.5512403
10.6,913.0527275
10.7,914.7990392
10.8,916.7916555
10.9,919.032272
11,921.5227998
11.1,924.2653651
11.2,927.26231
11.3,930.5161927
11.4,934.0297891
11.5,937.8060938
11.6,941.848322
11.7,946.1599114
11.8,950.7445248
11.9,955.6060527
12,960.7486162
12.1,966.1765704
12.2,971.8945081
12.3,977.9072639
12.4,984.219918
12.5,990.8378017
12.6,997.7665012
12.7,1005.011864
12.8,1012.580004
12.9,1020.477307
13,1028.710437
13.1,1037.286346
13.2,1046.212274
13.3,1055.495765
13.4,1065.144668
13.5,1075.167148
13.6,1085.571694
13.7,1096.367128
13.8,1107.562615
13.9,1119.167672
14,1131.192178
14.1,1143.646385
14.2,1156.540928
14.3,1169.886841
14.4,1183.695563
14.5,1197.978953
14.6,1212.749306
14.7,1228.019362
14.8,1243.802323
14.9,1260.111867
15,1276.962165
15.1,1294.367894
15.2,1312.344256
15.3,1330.906995
15.4,1350.072413
15.5,1369.857392
15.6,1390.279411
15.7,1411.356569
15.8,1433.107602
15.9,1455.551908
16,1478.709568
16.1,1502.601372
16.2,1527.248841
16.3,1552.674254
16.4,1578.900673
16.5,1605.951973
16.6,1633.852868
16.7,1662.628943
16.8,1692.306684
16.9,1722.913508
17,1754.477801
17.1,1787.028948
17.2,1820.597373
17.3,1855.214572
17.4,1890.913157
17.5,1927.726893
17.6,1965.690738
17.7,2004.840895
17.8,2045.214847
17.9,2086.851412
18,2129.790788
18.1,2174.074604
18.2,2219.745975
18.3,2266.849556
18.4,2315.431599
18.5,2365.540013
18.6,2417.224424
18.7,2470.536243
18.8,2525.528728
18.9,2582.257058
19,2640.778403
19.1,2701.151997
19.2,2763.439222
19.3,2827.703683
19.4,2894.011296
19.5,2962.430376
19.6,3033.031727
19.7,3105.888735
19.8,3181.077473
19.9,3258.676799
20,3338.768462
20.1,3421.437218
20.2,3506.770943
20.3,3594.860754
20.4,3685.801133
20.5,3779.690059
20.6,3876.629145
20.7,3976.723777
20.8,4080.083261
20.9,4186.820979
21,4297.054545
21.1,4410.905974
21.2,4528.501852
21.3,4649.973515
21.4,4775.457243
21.5,4905.094445
21.6,5039.03187
21.7,5177.421815
21.8,5320.422344
21.9,5468.197521
22,5620.917643
22.1,5778.759497
22.2,5941.906609
22.3,6110.549523
22.4,6284.886075
22.5,6465.121691
22.6,6651.46969
22.7,6844.1516
22.8,7043.397492
22.9,7249.446326
23,7462.546306
23.1,7682.955262
23.2,7910.941033
23.3,8146.781879
23.4,8390.766907
23.5,8643.196507
23.6,8904.382821
23.7,9174.650219
23.8,9454.335802
23.9,9743.789923
24,10043.37674
24.1,10353.47477
24.2,10674.47749
24.3,11006.79398
24.4,11350.8495
24.5,11707.08625
24.6,12075.964
24.7,12457.96087
24.8,12853.57404
24.9,13263.32063
25,13687.73845
25.1,14127.38689
25.2,14582.84787
25.3,15054.72671
25.4,15543.65318
25.5,16050.2825
25.6,16575.2964
25.7,17119.40428
25.8,17683.34433
25.9,18267.8848
26,18873.82523
26.1,19501.99784
26.2,20153.26884
26.3,20828.53994
26.4,21528.74987
26.5,22254.87589
26.6,23007.93554
26.7,23788.98829
26.8,24599.13739
26.9,25439.5317
27,26311.36771
27.1,27215.89157
27.2,28154.40123
27.3,29128.2487
27.4,30138.84236
27.5,31187.64944
27.6,32276.19856
27.7,33406.08241
27.8,34578.96054
27.9,35796.56227
28,37060.68974
28.1,38373.22112
28.2,39736.11392
28.3,41151.40847
28.4,42621.23158
28.5,44147.80035
28.6,45733.42611
28.7,47380.51864
28.8,49091.59046
28.9,50869.26144
29,52716.26352
29.1,54635.4457
29.2,56629.77924
29.3,58702.36309
29.4,60856.42964
29.5,63095.35061
29.6,65422.64331
29.7,67841.97716
29.8,70357.18052
29.9,72972.24781
30,75691.34697
