"","C"
"1",1,55.0416649016419
"2",2,30.1304336329521
"3",3,21.9846428721132
"4",4,18.247308174836
"5",5,16.5246519316917
"6",6,16.0611654937536
"7",7,16.5558679871251
"8",8,17.8699800834535
"9",9,19.9318746654689
"10",10,22.7006655720729
"11",11,26.1507494601761
"12",12,30.2648243270058
"13",13,35.0306448807753
"14",14,40.4395246168191
"15",15,46.4856850605075
"16",16,53.1660232838889
"17",17,60.4800856779629
"18",18,68.4301411053374
"19",19,77.0212995246907
"20",20,86.2616495959253
"21",21,96.1624032006233
"22",22,106.738042438018
"23",23,118.00646864973
"24",24,129.989155057069
"25",25,142.711305564637
"26",26,156.202022688929
"27",27,170.494487686461
"28",28,185.626155936525
"29",29,201.638970564985
"30",30,218.579597224518
"31",31,236.49968289871
"32",32,255.456141585095
"33",33,275.511469741404
"34",34,296.734094452202
"35",35,319.198757389936
"36",36,342.986937804905
"37",37,368.187317982172
"38",38,394.896294849721
"39",39,423.21854171136
"40",40,453.267624410629
"41",41,485.166676609601
"42",42,519.049139290779
"43",43,555.059570063811
"44",44,593.354528384608
"45",45,634.103543376364
"46",46,677.490171584461
"47",47,723.713152705311
"48",48,772.987672108744
"49",49,825.546739831182
"50",50,881.642696659907
