before,after,interval,const,AADT
1,2,10,1,0.265407866
1,2,10,1,0.265407866
1,1,10,1,0.265407866
1,1,10,1,0.265407866
1,1,10,1,0.265407866
1,1,1,1,0.102918128
1,1,1,1,0.102918128
1,1,1,1,0.102918128
1,1,1,1,0.102918128
1,1,1,1,0.102918128
1,1,1,1,0.102918128
1,1,1,1,0.102918128
1,2,1,1,0.102918128
1,3,1,1,0.102918128
1,2,1,1,0.102918128
1,1,1,1,0.102918128
1,1,1,1,0.102918128
1,1,6,1,0.102918128
1,1,9,1,1
1,4,7,1,0.051824763
1,1,7,1,0.051824763
1,1,7,1,0.051824763
1,1,7,1,0.051824763
1,1,7,1,0.051824763
1,5,7,1,0.051824763
1,4,7,1,0.051824763
1,4,7,1,0.051824763
1,1,5,1,0.052660646
1,5,5,1,0.052660646
1,1,5,1,0.052660646
1,2,5,1,0.052660646
1,1,5,1,0.052660646
1,2,5,1,0.052660646
1,1,5,1,0.052660646
1,2,5,1,0.052660646
1,1,5,1,0.052660646
1,1,5,1,0.052660646
1,1,5,1,0.052660646
1,4,4,1,0.055645944
1,1,4,1,0.055645944
1,2,4,1,0.055645944
1,1,4,1,0.055645944
1,2,4,1,0.055645944
1,1,4,1,0.055645944
1,2,4,1,0.055645944
1,1,4,1,0.055645944
1,1,4,1,0.055645944
1,1,4,1,0.055645944
1,4,4,1,0.051511307
1,1,4,1,0.051511307
1,4,6,1,0.08812598
1,1,6,1,0.088215538
1,1,6,1,0.088280767
1,1,6,1,0.08490365
1,1,6,1,0.163549519
1,2,6,1,0.046481081
1,2,6,1,0.046481081
1,3,6,1,0.046107321
1,3,8,1,0.116280021
1,3,8,1,0.058228226
1,2,8,1,0.058228226
1,3,8,1,0.058228226
1,2,8,1,0.058228226
1,3,8,1,0.058228226
1,2,8,1,0.058228226
1,4,8,1,0.058228226
1,3,8,1,0.058228226
1,4,11,1,0.058228226
1,4,2,1,0.0582233
1,4,2,1,0.058228226
1,1,2,1,0.050227629
1,4,1,1,0.041943429
1,4,1,1,0.041943429
1,4,1,1,0.040495559
1,1,1,1,0.040495559
1,1,1,1,0.040495559
1,4,1,1,0.040495559
1,1,1,1,0.040495559
1,1,1,1,0.040495559
1,1,1,1,0.065124263
1,1,1,1,0.065124263
1,1,1,1,0.065124263
1,1,1,1,0.065124263
1,1,1,1,0.065124263
1,1,1,1,0.065124263
1,4,1,1,0.065124263
1,5,7,1,0.086782596
1,3,7,1,0.086782596
1,2,7,1,0.086782596
1,3,6,1,0.086782596
1,1,6,1,0.086782596
1,1,6,1,0.086782596
1,3,6,1,0.086782596
1,3,6,1,0.086782596
1,4,6,1,0.086782596
1,4,6,1,0.086782596
1,3,6,1,0.086782596
1,3,6,1,0.086782596
1,3,6,1,0.086782596
1,3,6,1,0.086782596
1,3,6,1,0.086782596
1,3,6,1,0.086782596
1,3,6,1,0.086782596
1,3,6,1,0.086782596
1,3,6,1,0.086782596
1,2,6,1,0.086782596
1,1,6,1,0.086782596
1,1,6,1,0.086782596
1,1,6,1,0.086782596
1,1,6,1,0.086782596
1,2,6,1,0.086782596
1,2,6,1,0.086782596
1,1,6,1,0.086782596
1,1,6,1,0.086782596
1,3,6,1,0.003925666
1,5,6,1,0.003925666
1,5,6,1,0.003925666
1,5,6,1,0.003925666
1,5,6,1,0.003925666
1,4,6,1,0.003925666
1,3,6,1,0.003925666
1,3,6,1,0.003925666
1,5,6,1,0.003925666
1,4,6,1,0.003925666
1,5,6,1,0.003925666
1,5,5,1,0.003925666
1,3,5,1,0.003925666
1,3,5,1,0.003925666
1,4,5,1,0.003925666
1,3,5,1,0.003925666
1,3,5,1,0.003925666
1,3,5,1,0.003925666
1,4,5,1,0.003925666
1,4,5,1,0.003925666
1,3,5,1,0.003925666
1,4,5,1,0.003925666
1,5,5,1,0.003925666
1,4,5,1,0.003925666
1,3,5,1,0.003925666
1,3,5,1,0.003925666
1,4,5,1,0.003925666
1,3,5,1,0.003925666
1,3,5,1,0.003925666
1,4,5,1,0.003925666
1,3,5,1,0.003925666
1,3,5,1,0.003925666
1,4,5,1,0.003925666
1,3,5,1,0.003925666
1,5,5,1,0.003925666
1,4,5,1,0.003925666
1,3,5,1,0.003925666
1,3,5,1,0.003925666
1,3,5,1,0.003925666
1,3,5,1,0.003925666
1,3,5,1,0.003925666
1,3,5,1,0.003925666
1,3,5,1,0.003925666
1,3,5,1,0.003925666
1,4,5,1,0.003925666
1,5,5,1,0.003925666
1,4,5,1,0.003925666
1,3,5,1,0.003925666
1,4,5,1,0.003925666
1,5,5,1,0.003925666
1,5,5,1,0.003925666
1,5,5,1,0.003925666
1,5,5,1,0.003925666
1,4,5,1,0.003925666
1,4,5,1,0.003925666
1,5,5,1,0.003925666
1,5,5,1,0.003925666
1,4,5,1,0.003925666
1,3,5,1,0.003925666
1,4,5,1,0.003925666
1,4,5,1,0.003925666
1,3,5,1,0.003925666
1,3,5,1,0.003925666
1,3,5,1,0.003925666
1,4,5,1,0.003925666
1,5,5,1,0.003925666
1,5,5,1,0.003925666
1,2,4,1,0.012791999
1,1,4,1,0.012791999
1,2,4,1,0.012791999
1,2,4,1,0.012791999
1,1,4,1,0.012791999
1,1,4,1,0.012791999
1,1,4,1,0.012791999
1,2,4,1,0.012791999
1,2,4,1,0.012791999
1,2,4,1,0.012791999
1,2,4,1,0.005553997
1,4,4,1,0.037599821
1,4,4,1,0.0509441
1,4,4,1,0.037579969
1,1,4,1,0.03753713
1,1,4,1,0.037535189
1,4,4,1,0.037862826
1,1,4,1,0.036614673
1,1,4,1,0.018307336
1,1,4,1,0.036569893
1,2,4,1,0.036569893
1,1,4,1,0.036569893
1,2,4,1,0.036569893
1,3,4,1,0.036853497
1,3,4,1,0.036569893
1,4,4,1,0.036569893
1,3,4,1,0.035695649
1,3,4,1,0.036569893
1,4,4,1,0.036569893
1,3,4,1,0.036569893
1,4,4,1,0.036569893
1,3,4,1,0.036569893
1,4,4,1,0.037107247
1,4,4,1,0.036569893
1,4,4,1,0.036569893
1,3,4,1,0.036569893
1,4,3,1,0.008164788
1,1,3,1,0.016165385
1,1,3,1,0.016165385
1,2,3,1,0.007881185
1,2,3,1,0.007493096
1,2,3,1,0.007881185
1,1,3,1,0.007881185
1,1,3,1,0.007881185
1,1,3,1,0.007881185
1,5,5,1,0.044167475
1,5,5,1,0.044167475
1,5,5,1,0.044167475
1,5,5,1,0.044167475
1,5,5,1,0.044167475
1,5,5,1,0.044167475
1,5,5,1,0.044167475
1,5,5,1,0.044167475
1,5,5,1,0.044167475
1,5,5,1,0.044167475
1,1,4,1,0.138293903
1,1,2,1,0.138293903
1,3,11,1,0.138293903
1,5,11,1,0.138293903
1,5,11,1,0.138293903
1,5,11,1,0.138293903
1,2,11,1,0.138293903
1,5,8,1,0.138293903
1,2,8,1,0.138293903
1,5,8,1,0.138293903
1,5,8,1,0.138293903
1,5,8,1,0.138293903
1,2,8,1,0.138293903
1,2,8,1,0.138293903
1,1,8,1,0.138368535
1,1,8,1,0.138443167
1,1,8,1,0.138343608
1,3,9,1,0.052735279
1,4,9,1,0.052735279
1,5,9,1,0.052735279
1,5,9,1,0.052735279
1,5,9,1,0.052735279
1,5,9,1,0.052735279
1,5,9,1,0.052735279
1,5,9,1,0.052735279
1,5,9,1,0.052735279
1,5,9,1,0.052735279
1,4,4,1,0.052735279
1,2,4,1,0.052735279
1,1,4,1,0.052735279
1,3,4,1,0.052735279
1,5,4,1,0.052735279
1,5,4,1,0.052735279
1,5,4,1,0.052735279
1,5,4,1,0.052735279
1,5,4,1,0.052735279
1,5,4,1,0.052735279
1,4,4,1,0.052735279
1,5,5,1,0.080125382
1,4,5,1,0.080125382
1,3,5,1,0.080125382
1,5,5,1,0.080125382
1,5,5,1,0.080125382
1,5,5,1,0.080125382
1,5,5,1,0.080125382
1,5,5,1,0.080125382
1,5,5,1,0.080125382
1,5,5,1,0.080125382
1,5,5,1,0.080125382
1,5,5,1,0.080125382
1,5,5,1,0.080125382
1,4,5,1,0.080125382
1,4,5,1,0.080125382
1,4,5,1,0.080125382
1,5,5,1,0.080125382
1,5,5,1,0.080125382
1,3,5,1,0.080125382
1,1,2,1,0.080125382
1,1,2,1,0.080125382
1,1,2,1,0.080125382
1,3,5,1,0.080125382
1,4,5,1,0.080125382
1,3,5,1,0.080125382
1,3,5,1,0.080125382
1,4,5,1,0.080125382
1,5,5,1,0.080125382
1,4,5,1,0.080125382
1,4,5,1,0.080125382
1,4,5,1,0.080125382
1,4,5,1,0.080125382
1,4,5,1,0.080125382
1,3,5,1,0.080125382
1,3,5,1,0.080125382
1,3,5,1,0.080125382
1,4,5,1,0.080125382
1,3,5,1,0.080125382
1,3,5,1,0.080125382
1,4,5,1,0.080125382
1,4,5,1,0.080125382
1,4,5,1,0.080125382
1,4,5,1,0.080125382
1,4,5,1,0.080125382
1,3,5,1,0.080125382
1,3,5,1,0.080125382
1,3,7,1,0.080125382
1,3,7,1,0.080125382
1,4,7,1,0.080125382
1,3,7,1,0.080125382
1,4,7,1,0.080125382
1,5,7,1,0.080125382
1,4,7,1,0.080125382
1,4,7,1,0.080125382
1,4,7,1,0.080125382
1,3,3,1,0.003955519
1,3,3,1,0.003955519
1,2,3,1,0.003955519
1,2,3,1,0.003955519
1,2,3,1,0.003955519
1,2,3,1,0.003955519
1,1,3,1,0.003955519
1,1,3,1,0.003955519
1,1,3,1,0.003955519
1,1,3,1,0.003955519
1,1,3,1,0.003955519
1,1,3,1,0.003955519
1,1,3,1,0.003955519
1,1,3,1,0.003955519
1,1,3,1,0.003955519
1,2,3,1,0.003955519
1,3,3,1,0.003955519
1,3,3,1,0.003955519
1,3,3,1,0.003955519
1,3,3,1,0.003955519
1,3,3,1,0.003955519
1,3,3,1,0.003955519
1,3,3,1,0.003955519
1,3,3,1,0.003955519
1,3,3,1,0.003955519
1,3,3,1,0.003955519
1,3,3,1,0.003955519
1,4,3,1,0.003955519
1,3,3,1,0.003955519
1,3,3,1,0.003955519
1,3,3,1,0.003955519
1,3,3,1,0.003955519
1,3,3,1,0.003955519
1,3,3,1,0.003955519
1,3,3,1,0.003955519
1,2,3,1,0.003955519
1,4,3,1,0.003955519
1,2,3,1,0.003955519
1,2,3,1,0.003955519
1,3,3,1,0.003955519
1,3,3,1,0.003955519
1,4,3,1,0.003955519
1,3,3,1,0.003955519
1,4,3,1,0.003955519
1,3,3,1,0.003955519
1,3,3,1,0.003955519
1,4,3,1,0.003955519
1,3,3,1,0.003955519
1,3,3,1,0.003955519
1,3,3,1,0.003955519
1,3,3,1,0.003955519
1,4,3,1,0.003955519
1,2,4,1,0.025479513
1,1,4,1,0.025479513
1,2,4,1,0.025479513
1,2,3,1,0.025479513
1,3,3,1,0.025479513
1,3,3,1,0.025479513
1,5,8,1,0.025479513
1,5,8,1,0.025479513
1,5,8,1,0.025479513
1,4,8,1,0.025479513
1,5,8,1,0.025479513
1,5,8,1,0.025479513
1,5,8,1,0.025479513
1,5,8,1,0.025479513
1,5,8,1,0.025479513
1,5,8,1,0.025479513
1,5,4,1,0.025479513
1,3,4,1,0.025479513
1,3,4,1,0.025479513
1,5,4,1,0.025479513
1,4,4,1,0.025479513
1,5,4,1,0.025479513
1,4,4,1,0.025479513
1,5,4,1,0.025479513
1,4,4,1,0.025479513
1,4,4,1,0.025479513
1,4,4,1,0.025479513
1,4,6,1,0.025479513
1,4,6,1,0.025479513
1,4,1,1,0.025479513
1,3,4,1,0.025479513
1,4,4,1,0.025479513
1,4,4,1,0.025479513
1,4,4,1,0.025479513
1,3,5,1,0.025479513
1,4,5,1,0.025479513
1,3,5,1,0.025479513
1,3,2,1,0.025479513
1,3,2,1,0.025479513
1,4,2,1,0.025479513
1,4,2,1,0.025479513
1,3,2,1,0.025479513
1,3,2,1,0.025479513
1,5,7,1,0.431629226
1,5,7,1,0.431629226
1,4,7,1,0.431629226
1,4,7,1,0.431629226
1,5,7,1,0.431629226
1,5,7,1,0.431629226
1,5,4,1,0.431629226
1,3,4,1,0.431629226
1,3,4,1,0.431629226
1,5,4,1,0.054571237
1,3,4,1,0.431629226
1,3,4,1,0.431629226
1,5,4,1,0.431629226
1,3,4,1,0.431629226
1,5,11,1,0.431629226
1,4,11,1,0.431629226
1,5,11,1,0.431629226
1,5,11,1,0.431629226
1,5,11,1,0.431629226
1,3,6,1,0.431629226
1,5,3,1,0.431629226
1,3,9,1,0.431629226
1,4,9,1,0.431629226
1,4,9,1,0.431629226
1,4,9,1,0.431629226
1,4,9,1,0.431629226
1,4,9,1,0.431629226
1,4,9,1,0.431629226
1,5,1,1,0.431629226
1,4,1,1,0.431629226
1,4,1,1,0.431629226
1,4,1,1,0.431629226
1,4,6,1,0.431629226
1,4,6,1,0.431629226
1,5,3,1,0.186775132
1,5,3,1,0.186775132
1,5,3,1,0.186775132
1,5,3,1,0.186775132
1,5,3,1,0.186775132
1,5,3,1,0.186775132
1,5,7,1,0.185312337
1,5,7,1,0.186775132
1,5,7,1,0.186775132
1,5,7,1,0.186573625
1,5,7,1,0.186775132
1,5,7,1,0.186775132
1,5,7,1,0.186775132
1,5,7,1,0.050854541
1,5,7,1,0.186775132
1,5,7,1,0.186775132
1,5,7,1,0.186775132
1,5,7,1,0.186775132
1,5,7,1,0.186775132
1,5,7,1,0.186775132
1,5,7,1,0.186775132
1,5,7,1,0.186775132
1,4,7,1,0.045958654
1,4,7,1,0.045958654
1,3,7,1,0.045958654
1,4,7,1,0.045958654
1,4,7,1,0.045958654
1,4,7,1,0.045958654
1,2,7,1,0.045958654
1,2,7,1,0.045958654
1,3,7,1,0.045958654
1,4,7,1,0.045958654
1,4,7,1,0.045958654
1,4,7,1,0.045958654
1,3,6,1,0.045958654
1,3,6,1,0.045958654
1,4,6,1,0.045958654
1,3,6,1,0.045958654
1,2,6,1,0.045958654
1,3,6,1,0.045958654
1,4,6,1,0.045958654
1,4,6,1,0.045958654
1,3,6,1,0.045958654
1,3,6,1,0.045958654
1,3,6,1,0.045958654
1,1,6,1,0.045958654
1,3,6,1,0.045958654
1,5,6,1,0.045958654
1,2,6,1,0.045958654
1,3,6,1,0.045958654
1,2,6,1,0.045958654
1,3,6,1,0.045958654
1,2,6,1,0.045958654
1,1,6,1,0.045958654
1,1,6,1,0.045958654
1,2,6,1,0.045958654
1,1,6,1,0.045958654
1,1,6,1,0.055004105
1,2,6,1,0.055004105
1,3,6,1,0.055004105
1,2,6,1,0.055004105
1,5,7,1,0.055004105
1,5,7,1,0.055004105
1,2,7,1,0.055004105
1,3,7,1,0.055004105
1,3,7,1,0.055004105
1,4,7,1,0.055004105
1,5,7,1,0.055004105
1,3,7,1,0.055004105
1,5,7,1,0.055004105
1,5,7,1,0.055004105
1,5,7,1,0.055004105
1,4,7,1,0.055004105
1,5,7,1,0.055004105
1,5,7,1,0.055004105
1,4,7,1,0.055004105
1,3,7,1,0.055004105
1,4,7,1,0.055004105
1,5,7,1,0.055004105
1,4,7,1,0.055004105
1,4,7,1,0.055004105
1,4,7,1,0.055004105
1,4,7,1,0.055004105
1,4,7,1,0.055004105
1,3,7,1,0.055004105
1,2,7,1,0.055004105
1,3,7,1,0.055004105
1,4,7,1,0.055004105
1,3,7,1,0.055004105
1,3,7,1,0.055004105
1,4,7,1,0.055004105
1,4,7,1,0.055004105
1,4,7,1,0.055004105
1,3,6,1,0.113471155
1,2,6,1,0.113527875
1,1,6,1,0.11357564
1,1,6,1,0.131685947
1,4,6,1,0
1,1,6,1,0.127359355
1,1,8,1,0.115471304
1,4,8,1,0.064079409
1,2,7,1,0.051511307
1,4,3,1,0.035793716
1,3,3,1,0.035793716
1,5,3,1,0.035793716
1,3,3,1,0.035793716
1,4,7,1,0.035793716
1,5,7,1,0.035793716
1,4,7,1,0.035793716
1,3,7,1,0.035793716
1,3,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,5,8,1,0.035793716
1,5,8,1,0.035793716
1,5,8,1,0.035793716
1,5,8,1,0.035793716
1,4,8,1,0.035793716
1,3,8,1,0.035793716
1,3,5,1,0.035793716
1,3,5,1,0.035793716
1,4,5,1,0.035793716
1,5,5,1,0.035793716
1,5,5,1,0.035793716
1,4,5,1,0.035793716
1,3,5,1,0.035793716
1,4,5,1,0.035793716
1,5,5,1,0.035793716
1,5,5,1,0.035793716
1,4,5,1,0.035793716
1,3,5,1,0.035793716
1,4,5,1,0.035793716
1,5,5,1,0.035793716
1,5,5,1,0.035793716
1,4,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,3,7,1,0.035793716
1,4,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,4,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,3,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,3,7,1,0.035793716
1,2,7,1,0.035793716
1,3,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,3,7,1,0.035793716
1,2,7,1,0.035793716
1,3,7,1,0.035793716
1,5,7,1,0.035793716
1,4,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,5,7,1,0.035793716
1,4,7,1,0.035793716
1,3,7,1,0.035793716
1,4,7,1,0.035793716
1,5,7,1,0.035793716
1,3,7,1,0.035793716
1,4,7,1,0.035793716
1,3,7,1,0.035793716
1,4,7,1,0.035793716
1,3,7,1,0.035793716
1,4,7,1,0.035793716
1,4,7,1,0.035793716
1,4,7,1,0.035793716
1,4,7,1,0.035793716
1,4,7,1,0.035793716
1,3,7,1,0.035793716
1,3,7,1,0.035793716
1,3,7,1,0.035793716
1,3,7,1,0.035793716
1,3,7,1,0.035793716
1,3,7,1,0.035793716
1,3,7,1,0.035793716
1,3,7,1,0.035793716
1,3,7,1,0.035793716
1,3,7,1,0.035793716
1,3,7,1,0.035793716
1,3,6,1,0.035793716
1,3,6,1,0.035793716
1,4,6,1,0.035793716
1,5,6,1,0.035793716
1,3,6,1,0.035793716
1,3,6,1,0.035793716
1,2,4,1,0.006940816
1,1,4,1,0.006940816
1,1,4,1,0.006940816
1,2,4,1,0.006940816
1,2,4,1,0.006940816
1,2,4,1,0.006940816
1,2,4,1,0.006940816
1,2,4,1,0.006478095
1,1,4,1,0.006478095
1,2,4,1,0.006478095
1,1,4,1,0.006478095
1,2,4,1,0.006478095
1,2,4,1,0.006478095
1,1,4,1,0.006478095
1,1,4,1,0.006478095
1,1,4,1,0.006478095
1,1,4,1,0.006478095
1,1,4,1,0.006478095
1,2,4,1,0.006478095
1,1,4,1,0.006478095
1,1,4,1,0.006478095
1,1,4,1,0.006478095
1,1,4,1,0.006478095
1,1,4,1,0.006478095
1,1,4,1,0.006478095
1,1,4,1,0.006478095
1,1,4,1,0.006478095
1,1,4,1,0.006478095
1,2,4,1,0.006478095
1,2,4,1,0.006478095
1,2,4,1,0.006478095
1,2,4,1,0.006478095
1,2,4,1,0.006478095
1,2,4,1,0.006478095
1,1,4,1,0.006478095
1,1,4,1,0.006478095
1,2,4,1,0.006478095
1,2,4,1,0.006478095
1,3,4,1,0.006478095
1,4,4,1,0.006478095
1,3,4,1,0.006478095
1,1,4,1,0.006478095
1,2,4,1,0.006478095
1,2,4,1,0.006478095
1,2,4,1,0.006478095
1,2,4,1,0.006478095
1,2,4,1,0.006478095
1,2,4,1,0.006478095
1,1,4,1,0.006478095
1,1,4,1,0.006478095
1,2,4,1,0.006478095
1,1,4,1,0.006478095
1,1,4,1,0.006478095
1,3,3,1,0
1,3,3,1,0
1,3,3,1,0
1,3,3,1,0
1,3,3,1,0
1,3,3,1,0
1,3,3,1,0
1,3,3,1,0
1,3,3,1,0
1,3,3,1,0
1,3,3,1,0
1,3,3,1,0
1,3,3,1,0
1,3,3,1,0
1,3,3,1,0
1,1,10,1,0.216419136
1,1,10,1,0.216419136
1,1,10,1,0.216419136
1,1,10,1,0.216419136
1,2,10,1,0.216419136
1,2,10,1,0.216419136
1,1,10,1,0.216419136
1,1,10,1,0.216419136
1,1,10,1,0.216419136
1,1,10,1,0.216419136
1,1,10,1,0.216419136
1,1,10,1,0.216419136
1,2,10,1,0.216419136
1,2,10,1,0.216419136
1,1,10,1,0.216419136
1,1,10,1,0.216419136
1,1,10,1,0.216419136
1,1,10,1,0.216419136
1,1,10,1,0.216419136
1,1,10,1,0.216419136
1,1,10,1,0.216419136
1,1,10,1,0.216419136
1,1,10,1,0.216419136
1,1,5,1,0.216419136
1,1,5,1,0.216419136
1,1,5,1,0.216419136
1,1,5,1,0.216419136
1,1,5,1,0.216419136
1,1,5,1,0.216419136
1,1,5,1,0.216419136
1,1,5,1,0.216419136
1,1,5,1,0.216419136
1,3,4,1,0
1,3,4,1,0
1,4,3,1,0
1,3,3,1,0
1,4,3,1,0
1,4,3,1,0
1,4,3,1,0
1,4,2,1,0
1,3,3,1,0
1,3,3,1,0
1,4,3,1,0
1,4,3,1,0
1,4,3,1,0
1,4,6,1,0.013463691
1,4,6,1,0.013463691
1,4,6,1,0.013463691
1,5,6,1,0.013463691
1,5,6,1,0.013463691
1,5,6,1,0.013463691
1,4,6,1,0.013463691
1,5,6,1,0.013463691
1,5,5,1,0.013463691
1,3,5,1,0.013463691
1,4,5,1,0.013463691
1,5,5,1,0.013463691
1,5,5,1,0.013463691
1,5,5,1,0.013463691
1,4,5,1,0.013463691
1,3,5,1,0.013463691
1,5,5,1,0.013463691
1,5,5,1,0.013463691
1,4,5,1,0.013463691
1,5,5,1,0.013463691
1,5,5,1,0.013463691
1,5,5,1,0.013463691
1,4,3,1,0.002731547
1,4,3,1,0.002731547
1,4,3,1,0.002731547
1,4,3,1,0.002731547
1,4,3,1,0.002731547
1,3,3,1,0.002731547
1,4,3,1,0.002731547
1,5,3,1,0.002731547
1,3,3,1,0.002731547
1,3,3,1,0.002731547
1,3,3,1,0.002731547
1,3,3,1,0.002731547
1,3,3,1,0.002731547
1,3,3,1,0.002731547
1,3,3,1,0.002731547
1,4,3,1,0.002731547
1,4,3,1,0.002731547
1,4,3,1,0.002731547
1,3,3,1,0.002731547
1,4,3,1,0.002731547
1,4,3,1,0.002731547
1,3,3,1,0.002731547
1,3,3,1,0.002731547
1,4,3,1,0.002731547
1,4,3,1,0.002731547
1,4,3,1,0.002731547
1,3,3,1,0.002731547
1,3,3,1,0.002731547
1,3,3,1,0.002731547
1,3,3,1,0.002731547
1,4,3,1,0.002731547
1,3,3,1,0.002731547
1,3,3,1,0.002731547
1,3,3,1,0.002731547
1,2,3,1,0.002731547
1,3,3,1,0.002731547
1,4,3,1,0.002731547
1,3,3,1,0.002731547
1,3,3,1,0.002731547
1,2,3,1,0.002731547
1,3,3,1,0.002731547
1,1,9,1,0
1,1,9,1,0
1,1,9,1,0
1,1,2,1,0.01109038
1,1,2,1,0.01109038
1,4,1,1,0.01576237
1,4,1,1,0.01576237
1,4,5,1,0.011985969
1,1,5,1,0.011985969
1,1,5,1,0.011985969
1,1,5,1,0.011985969
1,1,5,1,0.011985969
1,1,5,1,0.011985969
1,1,5,1,0.011985969
1,4,5,1,0.011791925
1,3,5,1,0.011791925
1,4,5,1,0.011791925
1,3,5,1,0.011791925
1,3,5,1,0.011791925
1,4,5,1,0.011791925
1,4,5,1,0.011791925
1,4,5,1,0.011791925
1,3,5,1,0.011791925
1,3,5,1,0.011791925
1,4,5,1,0.011791925
1,3,5,1,0.011791925
1,4,5,1,0.011791925
1,3,5,1,0.011791925
1,4,5,1,0.011791925
1,3,5,1,0.011791925
1,1,5,1,0.011791925
1,4,5,1,0.011791925
1,2,5,1,0.011791925
1,4,5,1,0
1,3,5,1,0
1,4,5,1,0
1,4,5,1,0
