劣化状態,, 未知パラメータβ,,,ハザード関数,期待寿命
劣化タイプ,劣化ランク,定数項,構造,交通量,BMケース,BMケース
縦,1,-0.01404343,0.02410614,0.11708986,0.0804,12.43781095
,2,0.06709794,0.18755006,0,0.2846,3.513703443
,3,0.0823274,0.15432796,0.1251747,0.3958,2.52652855
横,1,-0.02258936,0.01750212,0.20696971,0.1127,8.873114463
,2,0.14808683,0.12754936,0,0.2692,3.714710253
,3,-0.0443826,0.28866863,1.05947892,0.8505,1.175778954
面,1,0.00987504,-0.00634824,0.006207,0.0014,714.2857143
,2,0.16287403,-0.09423919,0,0.7839,1.275672917
,3,0.04385248,-0.03095716,0,0.2354,4.24808836
