BEFORE,AFTER,“_ŒŸŠÔŠu
1,1,9.91
2,2,10.7
2,2,10.7
3,3,9.91
2,3,9.91
3,3,9.91
2,3,9.91
3,3,9.9
3,3,9.81
3,3,9.81
3,3,9.81
3,3,9.81
3,3,9.81
3,3,9.81
2,2,9.93
2,3,10.7
2,2,9.91
2,3,10.7
3,4,9.68
3,4,9.68
3,4,9.68
3,4,9.68
3,4,9.68
3,4,9.68
3,4,9.68
3,4,9.68
2,3,9.9
2,2,9.9
3,3,9.9
3,3,9.91
2,3,9.91
3,3,10.7
3,3,10.7
3,3,9.76
3,3,9.86
3,3,9.86
3,3,9.86
3,3,9.86
3,3,9.86
3,3,9.86
3,3,9.86
3,3,9.7
3,3,9.7
2,3,9.93
2,3,9.93
3,4,9.81
3,3,9.9
3,3,9.86
3,3,9.86
3,3,9.86
